language,protocol,scenario,response_time_ms,response_size_bytes,status
JS,REST,Complex_Fetch,1.8230149998998968,616,200
JS,GraphQL,Complex_Fetch,1.8502559996704804,476,200
Python,REST,Complex_Fetch,3.1137620007939404,617,200
Python,GraphQL,Complex_Fetch,58.58771400016849,1097,200
JS,REST,Simple_Fetch,3.0600310001318576,977,200
JS,GraphQL,Simple_Fetch,1.703871999779949,71,200
Python,REST,Simple_Fetch,2.93341400083591,978,200
Python,GraphQL,Simple_Fetch,2.666074000444496,74,200
JS,REST,Complex_Fetch,1.8653739998626406,977,200
JS,GraphQL,Complex_Fetch,1.8465379998815479,794,200
Python,REST,Complex_Fetch,3.0902079997758847,978,200
Python,GraphQL,Complex_Fetch,59.176255999773275,1798,200
JS,REST,Simple_Fetch,3.1034129997351556,926,200
JS,GraphQL,Simple_Fetch,2.015354999457486,79,200
Python,REST,Simple_Fetch,3.089768000791082,927,200
Python,GraphQL,Simple_Fetch,3.039302000615862,73,200
JS,REST,Complex_Fetch,1.8220929996459745,926,200
JS,GraphQL,Complex_Fetch,1.9706009998117224,712,200
Python,REST,Complex_Fetch,3.1110569998418214,927,200
Python,GraphQL,Complex_Fetch,59.06217299980199,2201,200
JS,REST,Simple_Fetch,2.425022000352328,159,200
JS,GraphQL,Simple_Fetch,1.866276000328071,75,200
Python,REST,Simple_Fetch,2.947169999970356,160,200
Python,GraphQL,Simple_Fetch,2.689656999791623,71,200
JS,REST,Complex_Fetch,2.1612279997498263,159,200
JS,GraphQL,Complex_Fetch,2.1550769997702446,86,200
Python,REST,Complex_Fetch,3.0362870002136333,160,200
Python,GraphQL,Complex_Fetch,58.28428499989968,560,200
JS,REST,Simple_Fetch,2.941348999229376,1873,200
JS,GraphQL,Simple_Fetch,1.595859000190103,77,200
Python,REST,Simple_Fetch,3.490376999252476,1874,200
Python,GraphQL,Simple_Fetch,2.8966250001758453,81,200
JS,REST,Complex_Fetch,2.515010000024631,1873,200
JS,GraphQL,Complex_Fetch,1.9938240002375096,1501,200
Python,REST,Complex_Fetch,3.0337620000864263,1874,200
Python,GraphQL,Complex_Fetch,60.08908599960705,1310,200
JS,REST,Simple_Fetch,2.906384000198159,1901,200
JS,GraphQL,Simple_Fetch,1.6035130001910147,77,200
Python,REST,Simple_Fetch,2.9336449997572345,1902,200
Python,GraphQL,Simple_Fetch,2.666555000359949,75,200
JS,REST,Complex_Fetch,2.564494000580453,1901,200
JS,GraphQL,Complex_Fetch,1.9689280006787158,1527,200
Python,REST,Complex_Fetch,3.1617719996575033,1902,200
Python,GraphQL,Complex_Fetch,60.029895000297984,1174,200
JS,REST,Simple_Fetch,3.238675999455154,1932,200
JS,GraphQL,Simple_Fetch,1.7046430002665147,75,200
Python,REST,Simple_Fetch,3.108302000327967,1933,200
Python,GraphQL,Simple_Fetch,2.9779070000586216,68,200
JS,REST,Complex_Fetch,2.6078750006490736,1932,200
JS,GraphQL,Complex_Fetch,1.8973839996760944,1577,200
Python,REST,Complex_Fetch,2.9621079993376043,1933,200
Python,GraphQL,Complex_Fetch,59.889101999942795,1922,200
JS,REST,Simple_Fetch,2.5072260004890268,2802,200
JS,GraphQL,Simple_Fetch,1.791005000086443,77,200
Python,REST,Simple_Fetch,3.071613000429352,2803,200
