lang,proto,scenario,ms,bytes
JS,REST,Overfetch_Scenario,7.331621999583149,976
JS,GraphQL,Overfetch_Scenario,2.617461999761872,78
Python,REST,Overfetch_Scenario,16.81860099961341,977
Python,GraphQL,Overfetch_Scenario,3.233236000596662,78
JS,GraphQL,RealWorld_Complex,7.376435999503883,234
Python,GraphQL,RealWorld_Complex,68.82718199994997,234
JS,REST,RealWorld_Complex,13.900605000344513,1808
Python,REST,RealWorld_Complex,35.73751599924435,1810
JS,REST,Overfetch_Scenario,7.277239999893936,2539
JS,GraphQL,Overfetch_Scenario,2.88229899979342,72
Python,REST,Overfetch_Scenario,16.758038000261877,2540
Python,GraphQL,Overfetch_Scenario,3.2419720000689267,72
JS,GraphQL,RealWorld_Complex,7.795501000146032,514
Python,GraphQL,RealWorld_Complex,68.56088299991825,514
JS,REST,RealWorld_Complex,13.503021000360604,4916
Python,REST,RealWorld_Complex,35.70409300027677,4918
JS,REST,Overfetch_Scenario,7.4558539999998175,2288
JS,GraphQL,Overfetch_Scenario,3.0397130003620987,74
Python,REST,Overfetch_Scenario,17.48644199960836,2289
Python,GraphQL,Overfetch_Scenario,3.473536000456079,74
JS,GraphQL,RealWorld_Complex,8.32903999980772,511
Python,GraphQL,RealWorld_Complex,68.82599999971717,511
JS,REST,RealWorld_Complex,15.848744000322768,4424
Python,REST,RealWorld_Complex,42.73726599967631,4426
JS,REST,Overfetch_Scenario,8.191351999812468,700
JS,GraphQL,Overfetch_Scenario,2.663829000084661,78
Python,REST,Overfetch_Scenario,17.059523000170884,701
Python,GraphQL,Overfetch_Scenario,3.405378000024939,78
JS,GraphQL,RealWorld_Complex,7.40853600018454,169
Python,GraphQL,RealWorld_Complex,68.95724599962705,169
JS,REST,RealWorld_Complex,13.70541000051162,1234
Python,REST,RealWorld_Complex,34.938429000249016,1236
JS,REST,Overfetch_Scenario,7.066975999805436,636
JS,GraphQL,Overfetch_Scenario,2.266225000312261,81
Python,REST,Overfetch_Scenario,17.105789000197547,637
Python,GraphQL,Overfetch_Scenario,3.1851660005486337,81
JS,GraphQL,RealWorld_Complex,8.241346000431804,183
Python,GraphQL,RealWorld_Complex,67.87818400061951,183
JS,REST,RealWorld_Complex,13.16909500019392,1101
Python,REST,RealWorld_Complex,34.70457100047497,1103
JS,REST,Overfetch_Scenario,7.168256000113615,717
JS,GraphQL,Overfetch_Scenario,2.331587000298896,84
Python,REST,Overfetch_Scenario,17.172093000226596,718
Python,GraphQL,Overfetch_Scenario,3.029774999959045,84
JS,GraphQL,RealWorld_Complex,7.468457999493694,202
Python,GraphQL,RealWorld_Complex,68.93415299964545,202
JS,REST,RealWorld_Complex,13.368189000175335,1265
Python,REST,RealWorld_Complex,34.07720599989261,1267
JS,REST,Overfetch_Scenario,6.944927999938955,2854
JS,GraphQL,Overfetch_Scenario,2.292823999596294,73
Python,REST,Overfetch_Scenario,17.43386299949634,2855
Python,GraphQL,Overfetch_Scenario,3.019906000190531,73
JS,GraphQL,RealWorld_Complex,8.17609400019137,592
Python,GraphQL,RealWorld_Complex,66.63920399932977,592
JS,REST,RealWorld_Complex,13.213889000326162,5549
Python,REST,RealWorld_Complex,40.07647300022654,5551
JS,REST,Overfetch_Scenario,7.537426999988384,1205
JS,GraphQL,Overfetch_Scenario,3.5142019996783347,72
Python,REST,Overfetch_Scenario,20.293268999921565,1206
Python,GraphQL,Overfetch_Scenario,3.389167999557685,72
JS,GraphQL,RealWorld_Complex,10.425335999570962,272
Python,GraphQL,RealWorld_Complex,68.32454100003815,272
JS,REST,RealWorld_Complex,15.285227999811468,2261
Python,REST,RealWorld_Complex,34.623238999301975,2263
JS,REST,Overfetch_Scenario,7.234470000184956,2672
