lang,proto,scenario,ms,bytes
JS,REST,RealWorld_Complex,14.040650999959325,2856
Python,REST,RealWorld_Complex,34.88752199882583,2858
JS,GraphQL,N_Plus_One_List,19.871905000400147,2247
Python,GraphQL,N_Plus_One_List,619.6933179999178,2247
JS,REST,N_Plus_One_List,218.2607430004282,15633223
Python,REST,N_Plus_One_List,378.99461400047585,15633234
JS,REST,Overfetch_Scenario,6.912488999660127,394
JS,GraphQL,Overfetch_Scenario,2.5438459997531027,73
Python,REST,Overfetch_Scenario,17.338698999083135,395
Python,GraphQL,Overfetch_Scenario,3.6674199982371647,73
JS,GraphQL,RealWorld_Complex,5.701931000658078,126
Python,GraphQL,RealWorld_Complex,67.83314700078336,126
JS,REST,RealWorld_Complex,12.972539998372667,647
Python,REST,RealWorld_Complex,33.6187750017416,649
JS,GraphQL,N_Plus_One_List,18.659073000890203,2247
Python,GraphQL,N_Plus_One_List,619.1706189983961,2247
JS,REST,N_Plus_One_List,227.07588500088605,15633223
Python,REST,N_Plus_One_List,378.8899979990674,15633234
JS,REST,Overfetch_Scenario,7.8274630013766,2190
JS,GraphQL,Overfetch_Scenario,2.4297920008393703,72
Python,REST,Overfetch_Scenario,16.97806300035154,2191
Python,GraphQL,Overfetch_Scenario,3.66227000085928,72
JS,GraphQL,RealWorld_Complex,4.096163000212982,440
Python,GraphQL,RealWorld_Complex,69.32023299850698,440
JS,REST,RealWorld_Complex,13.591810999059817,4233
Python,REST,RealWorld_Complex,33.766493001166964,4235
JS,GraphQL,N_Plus_One_List,18.890195000494714,2247
Python,GraphQL,N_Plus_One_List,616.3696219991834,2247
JS,REST,N_Plus_One_List,215.50283699980355,15633223
Python,REST,N_Plus_One_List,380.5713679994369,15633234
JS,REST,Overfetch_Scenario,6.673330999547034,739
JS,GraphQL,Overfetch_Scenario,2.6677580008254154,74
Python,REST,Overfetch_Scenario,17.098549000365892,740
Python,GraphQL,Overfetch_Scenario,3.662641000119038,74
JS,GraphQL,RealWorld_Complex,5.4320159997587325,200
Python,GraphQL,RealWorld_Complex,67.40853200062702,200
JS,REST,RealWorld_Complex,12.812971999665024,1319
Python,REST,RealWorld_Complex,35.2283409993106,1321
JS,GraphQL,N_Plus_One_List,20.203275000312715,2247
Python,GraphQL,N_Plus_One_List,629.4903800007887,2247
JS,REST,N_Plus_One_List,230.90250300083426,15633223
Python,REST,N_Plus_One_List,383.59850800043205,15633234
JS,REST,Overfetch_Scenario,7.4683599996205885,2698
JS,GraphQL,Overfetch_Scenario,2.714504000323359,74
Python,REST,Overfetch_Scenario,17.968750000363798,2699
Python,GraphQL,Overfetch_Scenario,3.4857399987231474,74
JS,GraphQL,RealWorld_Complex,5.515451999599463,570
Python,GraphQL,RealWorld_Complex,69.2250440006319,570
JS,REST,RealWorld_Complex,12.823021001167945,5230
Python,REST,RealWorld_Complex,33.987116001299,5232
JS,GraphQL,N_Plus_One_List,19.125586999507505,2247
Python,GraphQL,N_Plus_One_List,624.8760660000698,2247
JS,REST,N_Plus_One_List,217.62271799889277,15633223
Python,REST,N_Plus_One_List,380.28422000024875,15633234
JS,REST,Overfetch_Scenario,6.849469998996938,347
JS,GraphQL,Overfetch_Scenario,3.7729280011262745,78
Python,REST,Overfetch_Scenario,17.358656999931554,348
Python,GraphQL,Overfetch_Scenario,3.4052290011459263,78
JS,GraphQL,RealWorld_Complex,3.95909700091579,124
Python,GraphQL,RealWorld_Complex,67.22686099965358,124
JS,REST,RealWorld_Complex,13.108844999806024,534
Python,REST,RealWorld_Complex,34.000749999904656,536
JS,GraphQL,N_Plus_One_List,18.935580999823287,2247
Python,GraphQL,N_Plus_One_List,620.3294900005858,2247
JS,REST,N_Plus_One_List,225.29111199946783,15633223
Python,REST,N_Plus_One_List,379.36152099973697,15633234
JS,REST,Overfetch_Scenario,7.601620000059484,1774
