consulta,status_code,tempo_resposta_ms
todosComentarios,200,87.21637725830078
todosComentarios,200,30.460119247436523
todosComentarios,200,38.53774070739746
todosComentarios,200,17.565250396728516
todosComentarios,200,21.947383880615234
todosComentarios,200,21.129846572875977
todosComentarios,200,18.072128295898438
todosComentarios,200,17.414569854736328
todosComentarios,200,17.748594284057617
todosComentarios,200,16.78156852722168
todosComentarios,200,17.26841926574707
todosComentarios,200,34.03592109680176
todosComentarios,200,16.204833984375
todosComentarios,200,27.505159378051758
todosComentarios,200,17.32468605041504
todosComentarios,200,18.987178802490234
todosComentarios,200,16.61372184753418
todosComentarios,200,17.465591430664062
todosComentarios,200,17.226457595825195
todosComentarios,200,17.568349838256836
todosComentarios,200,17.18616485595703
todosComentarios,200,22.082090377807617
todosComentarios,200,16.255617141723633
todosComentarios,200,16.406774520874023
todosComentarios,200,16.117572784423828
todosComentarios,200,17.411470413208008
todosComentarios,200,15.943765640258789
todosComentarios,200,15.544652938842773
todosComentarios,200,16.794204711914062
todosComentarios,200,16.047000885009766
todosComentarios,200,19.26136016845703
todosComentarios,200,16.176462173461914
todosComentarios,200,15.700101852416992
todosComentarios,200,16.73436164855957
todosComentarios,200,16.444921493530273
todosComentarios,200,16.70670509338379
todosComentarios,200,16.85810089111328
todosComentarios,200,16.225576400756836
todosComentarios,200,20.969390869140625
todosComentarios,200,17.126798629760742
todosComentarios,200,20.753860473632812
todosComentarios,200,21.56519889831543
todosComentarios,200,17.310619354248047
todosComentarios,200,16.307353973388672
todosComentarios,200,17.37189292907715
todosComentarios,200,17.98701286315918
todosComentarios,200,16.981840133666992
todosComentarios,200,17.853975296020508
todosComentarios,200,16.4337158203125
todosComentarios,200,17.464399337768555
todosComentarios,200,16.788482666015625
todosComentarios,200,16.322612762451172
todosComentarios,200,23.440122604370117
todosComentarios,200,16.87932014465332
todosComentarios,200,16.72053337097168
todosComentarios,200,23.77772331237793
todosComentarios,200,15.79594612121582
todosComentarios,200,28.958559036254883
todosComentarios,200,18.013715744018555
todosComentarios,200,20.122289657592773
todosComentarios,200,17.347097396850586
todosComentarios,200,19.057512283325195
todosComentarios,200,16.449689865112305
todosComentarios,200,16.386747360229492
todosComentarios,200,15.89059829711914
todosComentarios,200,15.989542007446289
todosComentarios,200,17.36140251159668
todosComentarios,200,16.268014907836914
todosComentarios,200,15.960454940795898
todosComentarios,200,16.220808029174805
todosComentarios,200,16.138792037963867
todosComentarios,200,16.646146774291992
todosComentarios,200,16.097545623779297
todosComentarios,200,15.954732894897461
todosComentarios,200,15.382528305053711
todosComentarios,200,14.952898025512695
todosComentarios,200,15.535116195678711
todosComentarios,200,15.653133392333984
todosComentarios,200,15.412569046020508
todosComentarios,200,18.391132354736328
todosComentarios,200,15.496969223022461
todosComentarios,200,16.721248626708984
todosComentarios,200,15.447854995727539
todosComentarios,200,16.56317710876465
todosComentarios,200,16.947031021118164
todosComentarios,200,16.45827293395996
todosComentarios,200,15.770435333251953
todosComentarios,200,15.522956848144531
todosComentarios,200,15.536308288574219
todosComentarios,200,15.439748764038086
todosComentarios,200,15.558958053588867
todosComentarios,200,15.334129333496094
todosComentarios,200,15.143156051635742
todosComentarios,200,15.316963195800781
todosComentarios,200,15.463829040527344
todosComentarios,200,15.555620193481445
todosComentarios,200,15.618085861206055
todosComentarios,200,16.339540481567383
todosComentarios,200,15.255451202392578
todosComentarios,200,27.03237533569336
comentarioPorId,200,8.319377899169922
comentarioPorId,200,2.7823448181152344
comentarioPorId,200,2.7313232421875
comentarioPorId,200,3.298521041870117
comentarioPorId,200,2.763509750366211
comentarioPorId,200,2.667665481567383
comentarioPorId,200,2.7053356170654297
comentarioPorId,200,2.557039260864258
comentarioPorId,200,2.811908721923828
comentarioPorId,200,2.5348663330078125
comentarioPorId,200,2.577066421508789
comentarioPorId,200,3.477811813354492
comentarioPorId,200,2.6001930236816406
comentarioPorId,200,2.6912689208984375
comentarioPorId,200,2.711057662963867
comentarioPorId,200,2.452373504638672
comentarioPorId,200,2.547025680541992
comentarioPorId,200,3.3617019653320312
comentarioPorId,200,2.8409957885742188
comentarioPorId,200,2.716541290283203
comentarioPorId,200,2.6350021362304688
comentarioPorId,200,2.4764537811279297
comentarioPorId,200,2.6197433471679688
