consulta,status_code,tempo_resposta_ms
todosComentarios,200,2192.9776668548584
todosComentarios,200,2266.9217586517334
todosComentarios,200,2338.8235569000244
todosComentarios,200,2308.6259365081787
todosComentarios,200,2236.9847297668457
todosComentarios,200,2291.2209033966064
todosComentarios,200,2301.832437515259
todosComentarios,200,2327.8908729553223
todosComentarios,200,2275.670289993286
todosComentarios,200,2253.153085708618
todosComentarios,200,2277.841806411743
todosComentarios,200,2217.069387435913
todosComentarios,200,2213.5016918182373
todosComentarios,200,2223.019599914551
todosComentarios,200,2227.7846336364746
todosComentarios,200,2619.262456893921
todosComentarios,200,2298.785924911499
todosComentarios,200,2295.4654693603516
todosComentarios,200,2262.336015701294
todosComentarios,200,2296.142101287842
todosComentarios,200,2314.9328231811523
todosComentarios,200,2249.662399291992
todosComentarios,200,2288.747549057007
todosComentarios,200,2335.9670639038086
todosComentarios,200,2303.2283782958984
todosComentarios,200,2547.755002975464
todosComentarios,200,2186.157464981079
todosComentarios,200,2281.5401554107666
todosComentarios,200,2252.063751220703
todosComentarios,200,2234.0714931488037
todosComentarios,200,2322.3397731781006
todosComentarios,200,2292.6793098449707
todosComentarios,200,2293.3428287506104
todosComentarios,200,2243.4988021850586
todosComentarios,200,2300.314426422119
todosComentarios,200,2676.5377521514893
todosComentarios,200,2344.6993827819824
todosComentarios,200,2356.0900688171387
todosComentarios,200,2168.952703475952
todosComentarios,200,2359.2958450317383
todosComentarios,200,2277.164936065674
todosComentarios,200,2304.225206375122
todosComentarios,200,2289.4580364227295
todosComentarios,200,2286.3082885742188
todosComentarios,200,2264.789581298828
todosComentarios,200,2223.1318950653076
todosComentarios,200,2262.2621059417725
todosComentarios,200,2231.6479682922363
todosComentarios,200,2297.0452308654785
todosComentarios,200,2240.417957305908
todosComentarios,200,2281.5515995025635
todosComentarios,200,2231.882095336914
todosComentarios,200,2312.312364578247
todosComentarios,200,2293.3292388916016
todosComentarios,200,2259.3722343444824
todosComentarios,200,2325.8397579193115
todosComentarios,200,2297.2030639648438
todosComentarios,200,2215.515375137329
todosComentarios,200,2312.1161460876465
todosComentarios,200,2238.7781143188477
todosComentarios,200,2266.1819458007812
todosComentarios,200,2277.7533531188965
todosComentarios,200,2668.069362640381
todosComentarios,200,2268.310070037842
todosComentarios,200,2241.128444671631
todosComentarios,200,2281.2740802764893
todosComentarios,200,2301.467180252075
todosComentarios,200,2351.170778274536
todosComentarios,200,2311.8786811828613
todosComentarios,200,2261.1916065216064
todosComentarios,200,2259.3111991882324
todosComentarios,200,2180.1226139068604
todosComentarios,200,2284.905433654785
todosComentarios,200,2261.721134185791
todosComentarios,200,2227.3473739624023
todosComentarios,200,2585.346460342407
todosComentarios,200,2218.616008758545
todosComentarios,200,2552.4749755859375
todosComentarios,200,2259.948492050171
todosComentarios,200,2506.434679031372
todosComentarios,200,2191.894769668579
todosComentarios,200,2227.731227874756
todosComentarios,200,2284.4269275665283
todosComentarios,200,2186.976909637451
todosComentarios,200,2153.395891189575
todosComentarios,200,2322.316884994507
todosComentarios,200,2522.9344367980957
todosComentarios,200,2278.8143157958984
todosComentarios,200,2301.057815551758
todosComentarios,200,2166.992425918579
todosComentarios,200,2811.878204345703
todosComentarios,200,2202.1312713623047
todosComentarios,200,2250.279664993286
todosComentarios,200,2233.1700325012207
todosComentarios,200,2189.6016597747803
todosComentarios,200,2224.071979522705
todosComentarios,200,2266.852378845215
todosComentarios,200,2252.99072265625
todosComentarios,200,2302.170515060425
todosComentarios,200,2589.9498462677
comentarioPorId,200,2035.7844829559326
comentarioPorId,200,2044.5194244384766
comentarioPorId,200,2027.8339385986328
comentarioPorId,200,2053.586483001709
comentarioPorId,200,2041.9232845306396
comentarioPorId,200,2014.2149925231934
comentarioPorId,200,2029.4828414916992
comentarioPorId,200,2035.9477996826172
comentarioPorId,200,2025.8796215057373
comentarioPorId,200,2035.7229709625244
comentarioPorId,200,2006.7081451416016
comentarioPorId,200,2027.914047241211
comentarioPorId,200,2046.370029449463
comentarioPorId,200,2015.0210857391357
comentarioPorId,200,2051.3012409210205
comentarioPorId,200,2037.0330810546875
comentarioPorId,200,2022.1266746520996
comentarioPorId,200,2017.0636177062988
comentarioPorId,200,2037.5628471374512
comentarioPorId,200,2034.8494052886963
comentarioPorId,200,2024.6148109436035
comentarioPorId,200,2029.1142463684082
comentarioPorId,200,2035.0329875946045
comentarioPorId,200,2028.6717414855957
comentarioPorId,200,2027.8079509735107
comentarioPorId,200,2036.9062423706055
comentarioPorId,200,2037.0736122131348
comentarioPorId,200,2021.1446285247803
comentarioPorId,200,2033.888339996338
comentarioPorId,200,2041.6955947875977
comentarioPorId,200,2015.6657695770264
comentarioPorId,200,2024.803876876831
comentarioPorId,200,2023.2195854187012
comentarioPorId,200,2024.869441986084
comentarioPorId,200,2021.5401649475098
comentarioPorId,200,2069.1068172454834
comentarioPorId,200,2027.3079872131348
comentarioPorId,200,2025.7997512817383
comentarioPorId,200,2029.7598838806152
comentarioPorId,200,2036.4203453063965
comentarioPorId,200,2017.4834728240967
comentarioPorId,200,2024.2857933044434
comentarioPorId,200,2022.7928161621094
comentarioPorId,200,2022.4218368530273
comentarioPorId,200,2023.205041885376
comentarioPorId,200,2025.3252983093262
comentarioPorId,200,2025.5098342895508
comentarioPorId,200,2035.0368022918701
comentarioPorId,200,2045.9187030792236
comentarioPorId,200,2020.538330078125
comentarioPorId,200,2021.440029144287
comentarioPorId,200,2024.6837139129639
comentarioPorId,200,2025.745153427124
comentarioPorId,200,2037.1949672698975
comentarioPorId,200,2043.7612533569336
comentarioPorId,200,2020.923137664795
comentarioPorId,200,2026.1127948760986
comentarioPorId,200,2024.6930122375488
comentarioPorId,200,2019.6640491485596
comentarioPorId,200,2037.240982055664
comentarioPorId,200,2022.5830078125
comentarioPorId,200,2027.3077487945557
comentarioPorId,200,2039.708137512207
comentarioPorId,200,2027.2679328918457
comentarioPorId,200,2034.4102382659912
comentarioPorId,200,2021.3303565979004
comentarioPorId,200,2024.400234222412
comentarioPorId,200,2024.9993801116943
comentarioPorId,200,2027.726411819458
comentarioPorId,200,2023.6895084381104
comentarioPorId,200,2037.9140377044678
comentarioPorId,200,2017.4682140350342
comentarioPorId,200,2027.7812480926514
comentarioPorId,200,2037.8079414367676
comentarioPorId,200,2025.7759094238281
comentarioPorId,200,2024.5518684387207
comentarioPorId,200,2036.2303256988525
comentarioPorId,200,2039.7260189056396
comentarioPorId,200,2023.6573219299316
comentarioPorId,200,2022.5448608398438
comentarioPorId,200,2024.8603820800781
comentarioPorId,200,2024.7197151184082
comentarioPorId,200,2024.8186588287354
comentarioPorId,200,2018.9011096954346
comentarioPorId,200,2060.546398162842
comentarioPorId,200,2029.3300151824951
comentarioPorId,200,2019.3607807159424
comentarioPorId,200,2022.646427154541
comentarioPorId,200,2025.4247188568115
comentarioPorId,200,2025.2668857574463
comentarioPorId,200,2017.3535346984863
comentarioPorId,200,2023.9105224609375
comentarioPorId,200,2022.336721420288
comentarioPorId,200,2039.1898155212402
comentarioPorId,200,2030.2181243896484
comentarioPorId,200,2036.2677574157715
comentarioPorId,200,2036.1301898956299
comentarioPorId,200,2023.5118865966797
comentarioPorId,200,2025.6388187408447
comentarioPorId,200,2036.5195274353027
comentariosPorUsuarioId,200,2054.8312664031982
comentariosPorUsuarioId,200,2027.280569076538
comentariosPorUsuarioId,200,2031.148910522461
comentariosPorUsuarioId,200,2023.7693786621094
comentariosPorUsuarioId,200,2022.254467010498
comentariosPorUsuarioId,200,2040.053129196167
comentariosPorUsuarioId,200,2024.9443054199219
comentariosPorUsuarioId,200,2020.7715034484863
comentariosPorUsuarioId,200,2015.4502391815186
comentariosPorUsuarioId,200,2040.8449172973633
comentariosPorUsuarioId,200,2031.6803455352783
comentariosPorUsuarioId,200,2026.8208980560303
comentariosPorUsuarioId,200,2025.1646041870117
comentariosPorUsuarioId,200,2042.1411991119385
comentariosPorUsuarioId,200,2029.6719074249268
comentariosPorUsuarioId,200,2015.8534049987793
comentariosPorUsuarioId,200,2058.5861206054688
comentariosPorUsuarioId,200,2058.567523956299
comentariosPorUsuarioId,200,2031.7213535308838
comentariosPorUsuarioId,200,2023.566484451294
comentariosPorUsuarioId,200,2022.9766368865967
comentariosPorUsuarioId,200,2049.412250518799
comentariosPorUsuarioId,200,2015.0647163391113
comentariosPorUsuarioId,200,2046.5741157531738
comentariosPorUsuarioId,200,2017.1442031860352
comentariosPorUsuarioId,200,2029.3200016021729
comentariosPorUsuarioId,200,2027.3189544677734
comentariosPorUsuarioId,200,2023.1060981750488
comentariosPorUsuarioId,200,2022.1567153930664
comentariosPorUsuarioId,200,2046.0162162780762
comentariosPorUsuarioId,200,2020.3402042388916
comentariosPorUsuarioId,200,2028.148889541626
comentariosPorUsuarioId,200,2038.2592678070068
comentariosPorUsuarioId,200,2024.090051651001
comentariosPorUsuarioId,200,2030.7693481445312
comentariosPorUsuarioId,200,2037.8358364105225
comentariosPorUsuarioId,200,2032.8335762023926
comentariosPorUsuarioId,200,2024.4605541229248
comentariosPorUsuarioId,200,2021.8896865844727
comentariosPorUsuarioId,200,2024.346113204956
comentariosPorUsuarioId,200,2027.3971557617188
comentariosPorUsuarioId,200,2019.331455230713
comentariosPorUsuarioId,200,2039.5941734313965
comentariosPorUsuarioId,200,2042.1977043151855
comentariosPorUsuarioId,200,2029.6361446380615
comentariosPorUsuarioId,200,2065.4854774475098
comentariosPorUsuarioId,200,2031.376600265503
comentariosPorUsuarioId,200,2023.9553451538086
comentariosPorUsuarioId,200,2034.6214771270752
comentariosPorUsuarioId,200,2030.0414562225342
comentariosPorUsuarioId,200,2052.097797393799
comentariosPorUsuarioId,200,2015.3322219848633
comentariosPorUsuarioId,200,2014.636516571045
comentariosPorUsuarioId,200,2031.9969654083252
comentariosPorUsuarioId,200,2040.8926010131836
comentariosPorUsuarioId,200,2041.579008102417
comentariosPorUsuarioId,200,2023.3116149902344
comentariosPorUsuarioId,200,2074.5153427124023
comentariosPorUsuarioId,200,2022.843360900879
comentariosPorUsuarioId,200,2034.592628479004
comentariosPorUsuarioId,200,2023.7398147583008
comentariosPorUsuarioId,200,2042.971134185791
comentariosPorUsuarioId,200,2037.843942642212
comentariosPorUsuarioId,200,2043.2701110839844
comentariosPorUsuarioId,200,2039.1919612884521
comentariosPorUsuarioId,200,2028.228998184204
comentariosPorUsuarioId,200,2012.0162963867188
comentariosPorUsuarioId,200,2046.391487121582
comentariosPorUsuarioId,200,2018.3653831481934
comentariosPorUsuarioId,200,2040.2164459228516
comentariosPorUsuarioId,200,2035.081386566162
comentariosPorUsuarioId,200,2027.0087718963623
comentariosPorUsuarioId,200,2030.3101539611816
comentariosPorUsuarioId,200,2030.996322631836
comentariosPorUsuarioId,200,2030.0805568695068
comentariosPorUsuarioId,200,2052.814245223999
comentariosPorUsuarioId,200,2026.1123180389404
comentariosPorUsuarioId,200,2027.087926864624
comentariosPorUsuarioId,200,2034.531831741333
comentariosPorUsuarioId,200,2025.3431797027588
comentariosPorUsuarioId,200,2047.7633476257324
comentariosPorUsuarioId,200,2019.3865299224854
comentariosPorUsuarioId,200,2021.481990814209
comentariosPorUsuarioId,200,2032.550573348999
comentariosPorUsuarioId,200,2043.4610843658447
comentariosPorUsuarioId,200,2024.726390838623
comentariosPorUsuarioId,200,2069.261074066162
comentariosPorUsuarioId,200,2009.4091892242432
comentariosPorUsuarioId,200,2024.242877960205
comentariosPorUsuarioId,200,2024.4226455688477
comentariosPorUsuarioId,200,2021.2295055389404
comentariosPorUsuarioId,200,2031.5585136413574
comentariosPorUsuarioId,200,2020.5466747283936
comentariosPorUsuarioId,200,2019.0324783325195
comentariosPorUsuarioId,200,2040.2522087097168
comentariosPorUsuarioId,200,2035.1452827453613
comentariosPorUsuarioId,200,2026.5989303588867
comentariosPorUsuarioId,200,2025.61616897583
comentariosPorUsuarioId,200,2031.6569805145264
comentariosPorUsuarioId,200,2018.4040069580078
comentariosPorPontuacaoMinima,200,2155.341386795044
comentariosPorPontuacaoMinima,200,2465.2698040008545
comentariosPorPontuacaoMinima,200,2154.3877124786377
comentariosPorPontuacaoMinima,200,2104.430913925171
comentariosPorPontuacaoMinima,200,2122.2386360168457
comentariosPorPontuacaoMinima,200,2134.476900100708
comentariosPorPontuacaoMinima,200,2123.6748695373535
comentariosPorPontuacaoMinima,200,2151.848793029785
comentariosPorPontuacaoMinima,200,2120.5174922943115
comentariosPorPontuacaoMinima,200,2122.591257095337
comentariosPorPontuacaoMinima,200,2156.2225818634033
comentariosPorPontuacaoMinima,200,2157.097339630127
comentariosPorPontuacaoMinima,200,2156.769275665283
comentariosPorPontuacaoMinima,200,2121.464729309082
comentariosPorPontuacaoMinima,200,2120.795965194702
comentariosPorPontuacaoMinima,200,2119.580030441284
comentariosPorPontuacaoMinima,200,2154.844284057617
comentariosPorPontuacaoMinima,200,2155.909538269043
comentariosPorPontuacaoMinima,200,2140.3605937957764
comentariosPorPontuacaoMinima,200,2190.532445907593
comentariosPorPontuacaoMinima,200,2110.107898712158
comentariosPorPontuacaoMinima,200,2166.884183883667
comentariosPorPontuacaoMinima,200,2188.2288455963135
comentariosPorPontuacaoMinima,200,2124.3960857391357
comentariosPorPontuacaoMinima,200,2139.688014984131
comentariosPorPontuacaoMinima,200,2139.8754119873047
comentariosPorPontuacaoMinima,200,2168.293237686157
comentariosPorPontuacaoMinima,200,2128.767490386963
comentariosPorPontuacaoMinima,200,2116.2712574005127
comentariosPorPontuacaoMinima,200,2167.160749435425
comentariosPorPontuacaoMinima,200,2123.0976581573486
comentariosPorPontuacaoMinima,200,2770.1451778411865
comentariosPorPontuacaoMinima,200,2112.5614643096924
comentariosPorPontuacaoMinima,200,2122.5621700286865
comentariosPorPontuacaoMinima,200,2163.3856296539307
comentariosPorPontuacaoMinima,200,2156.0046672821045
comentariosPorPontuacaoMinima,200,2205.9600353240967
comentariosPorPontuacaoMinima,200,2126.3859272003174
comentariosPorPontuacaoMinima,200,2118.138551712036
comentariosPorPontuacaoMinima,200,2154.742956161499
comentariosPorPontuacaoMinima,200,2125.40340423584
comentariosPorPontuacaoMinima,200,2154.2980670928955
comentariosPorPontuacaoMinima,200,2190.626382827759
comentariosPorPontuacaoMinima,200,2113.9211654663086
comentariosPorPontuacaoMinima,200,2168.478488922119
comentariosPorPontuacaoMinima,200,2155.4617881774902
comentariosPorPontuacaoMinima,200,2151.9405841827393
comentariosPorPontuacaoMinima,200,2121.9680309295654
comentariosPorPontuacaoMinima,200,2124.3927478790283
comentariosPorPontuacaoMinima,200,2152.057647705078
comentariosPorPontuacaoMinima,200,2175.0648021698
comentariosPorPontuacaoMinima,200,2154.8383235931396
comentariosPorPontuacaoMinima,200,2169.440984725952
comentariosPorPontuacaoMinima,200,2171.3407039642334
comentariosPorPontuacaoMinima,200,2152.73380279541
comentariosPorPontuacaoMinima,200,2123.7919330596924
comentariosPorPontuacaoMinima,200,2173.0597019195557
comentariosPorPontuacaoMinima,200,2172.0032691955566
comentariosPorPontuacaoMinima,200,2190.2005672454834
comentariosPorPontuacaoMinima,200,2173.431634902954
comentariosPorPontuacaoMinima,200,2138.831853866577
comentariosPorPontuacaoMinima,200,2171.6089248657227
comentariosPorPontuacaoMinima,200,2122.9326725006104
comentariosPorPontuacaoMinima,200,2114.9868965148926
comentariosPorPontuacaoMinima,200,2102.287769317627
comentariosPorPontuacaoMinima,200,2138.906478881836
comentariosPorPontuacaoMinima,200,2152.8847217559814
comentariosPorPontuacaoMinima,200,2110.933780670166
comentariosPorPontuacaoMinima,200,2117.59090423584
comentariosPorPontuacaoMinima,200,2173.5880374908447
comentariosPorPontuacaoMinima,200,2118.7033653259277
comentariosPorPontuacaoMinima,200,2154.430389404297
comentariosPorPontuacaoMinima,200,2122.321844100952
comentariosPorPontuacaoMinima,200,2154.3424129486084
comentariosPorPontuacaoMinima,200,2141.9012546539307
comentariosPorPontuacaoMinima,200,2141.4215564727783
comentariosPorPontuacaoMinima,200,2135.7052326202393
comentariosPorPontuacaoMinima,200,2219.0136909484863
comentariosPorPontuacaoMinima,200,2141.3018703460693
comentariosPorPontuacaoMinima,200,2108.098030090332
comentariosPorPontuacaoMinima,200,2108.5169315338135
comentariosPorPontuacaoMinima,200,2421.813488006592
comentariosPorPontuacaoMinima,200,2159.491777420044
comentariosPorPontuacaoMinima,200,2171.618700027466
comentariosPorPontuacaoMinima,200,2186.4030361175537
comentariosPorPontuacaoMinima,200,2124.528169631958
comentariosPorPontuacaoMinima,200,2135.5605125427246
comentariosPorPontuacaoMinima,200,2131.7200660705566
comentariosPorPontuacaoMinima,200,2207.918405532837
comentariosPorPontuacaoMinima,200,2123.5997676849365
comentariosPorPontuacaoMinima,200,2172.304153442383
comentariosPorPontuacaoMinima,200,2138.810396194458
comentariosPorPontuacaoMinima,200,2177.938461303711
comentariosPorPontuacaoMinima,200,2140.0632858276367
comentariosPorPontuacaoMinima,200,2145.909547805786
comentariosPorPontuacaoMinima,200,2138.187885284424
comentariosPorPontuacaoMinima,200,2171.2825298309326
comentariosPorPontuacaoMinima,200,2138.183832168579
comentariosPorPontuacaoMinima,200,2137.146234512329
comentariosPorPontuacaoMinima,200,2432.610034942627
